a,b,n,gains,losses,ties,accuracy_delta_fraction,accuracy_delta_ci,performance_pairs,speedup,speedup_ci,expert_bytes_reduction_fraction,p95_latency_ratio,candidate_forwards,candidate_pseudo_positions,candidate_decode_bytes,baseline_decode_bytes
H,E,256,1,56,199,-0.21484375,"[np.float64(-0.29403112629866446), np.float64(-0.12524787496028597)]",40,0.8994662177858891,"[0.8845513832679271, 0.9145872742470152]",0.38604439639268584,1.9292135244723876,5120,0,3376199761920,5499094302720
S,E,256,1,110,145,-0.42578125,"[np.float64(-0.5139861218255837), np.float64(-0.31872020211812274)]",40,1.0647806455222573,"[1.0444421175551957, 1.0862376837817305]",0.9392488480448941,0.9139904767510436,5120,0,334076313600,5499094302720
H,S,256,80,26,150,0.2109375,"[np.float64(0.07713490049476471), np.float64(0.33608675761742)]",40,0.8447432075032841,"[0.8333661488994025, 0.8562638914754466]",-9.106073446327684,2.1107588903225243,5120,0,3376199761920,334076313600
S,H,256,26,80,150,-0.2109375,"[np.float64(-0.33608675761742), np.float64(-0.07713490049476471)]",40,1.183791702753777,"[1.167864264691696, 1.1999527474559768]",0.9010496009839135,0.47376325386325857,5120,0,334076313600,3376199761920
